Company Name,Industry,Symbol,Series,ISIN Code,SYMBOL
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025,ACC
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,EQ,INE949L01017,AUBANK
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,EQ,INE742F01042,ADANIPORTS
Adani Power Ltd.,POWER,ADANIPOWER,EQ,INE814H01011,ADANIPOWER
Adani Transmission Ltd.,POWER,ADANITRANS,EQ,INE931S01010,ADANITRANS
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,EQ,INE674K01013,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,EQ,INE647O01011,ABFRL
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049,AJANTPHARM
Alkem Laboratories Ltd.,PHARMA,ALKEM,EQ,INE540L01014,ALKEM
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032,AMARAJABAT
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,EQ,INE079A01024,AMBUJACEM
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,EQ,INE437A01024,APOLLOHOSP
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,EQ,INE438A01022,APOLLOTYRE
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,EQ,INE208A01029,ASHOKLEY
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,EQ,INE021A01026,ASIANPAINT
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,EQ,INE406A01037,AUROPHARMA
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,EQ,INE238A01034,AXISBANK
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,EQ,INE917I01010,BAJAJ-AUTO
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,EQ,INE296A01024,BAJFINANCE
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,EQ,INE918I01018,BAJAJFINSV
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,EQ,INE118A01012,BAJAJHLDNG
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026,BALKRISIND
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,EQ,INE545U01014,BANDHANBNK
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,EQ,INE028A01039,BANKBARODA
Bank of India,FINANCIAL SERVICES,BANKINDIA,EQ,INE084A01016,BANKINDIA
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028,BATAINDIA
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,EQ,INE463A01038,BERGEPAINT
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024,BEL
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,EQ,INE465A01025,BHARATFORG
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,EQ,INE257A01026,BHEL
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,EQ,INE029A01011,BPCL
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,EQ,INE397D01024,BHARTIARTL
Bharti Infratel Ltd.,TELECOM,INFRATEL,EQ,INE121J01017,INFRATEL
Biocon Ltd.,PHARMA,BIOCON,EQ,INE376G01013,BIOCON
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025,BBTC
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,EQ,INE323A01026,BOSCHLTD
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,EQ,INE216A01030,BRITANNIA
CESC Ltd.,POWER,CESC,EQ,INE486A01013,CESC
Cadila Healthcare Ltd.,PHARMA,CADILAHC,EQ,INE010B01027,CADILAHC
Canara Bank,FINANCIAL SERVICES,CANBK,EQ,INE476A01014,CANBK
Castrol India Ltd.,OIL & GAS,CASTROLIND,EQ,INE172A01027,CASTROLIND
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024,CHOLAFIN
Cipla Ltd.,PHARMA,CIPLA,EQ,INE059A01026,CIPLA
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,EQ,INE491A01021,CUB
Coal India Ltd.,METALS,COALINDIA,EQ,INE522F01014,COALINDIA
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,EQ,INE259A01022,COLPAL
Container Corporation of India Ltd.,SERVICES,CONCOR,EQ,INE111A01025,CONCOR
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,EQ,INE169A01031,COROMANDEL
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,EQ,INE299U01018,CROMPTON
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,EQ,INE298A01020,CUMMINSIND
DLF Ltd.,CONSTRUCTION,DLF,EQ,INE271C01023,DLF
Dabur India Ltd.,CONSUMER GOODS,DABUR,EQ,INE016A01026,DABUR
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,EQ,INE00R701025,DALBHARAT
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,EQ,INE361B01024,DIVISLAB
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,EQ,INE089A01023,DRREDDY
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,EQ,INE532F01054,EDELWEISS
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,EQ,INE066A01013,EICHERMOT
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032,EMAMILTD
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,EQ,INE913H01037,ENDURANCE
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028,ENGINERSIN
Escorts Ltd.,AUTOMOBILE,ESCORTS,EQ,INE042A01014,ESCORTS
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020,EXIDEIND
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,EQ,INE171A01029,FEDERALBNK
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,EQ,INE061F01013,FORTIS
Future Consumer Ltd.,CONSUMER GOODS,FCONSUMER,EQ,INE220J01025,FCONSUMER
Future Retail Ltd.,CONSUMER GOODS,FRETAIL,EQ,INE752P01024,FRETAIL
GAIL (India) Ltd.,OIL & GAS,GAIL,EQ,INE129A01019,GAIL
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,EQ,INE776C01039,GMRINFRA
